Time,Range,Vel,Lat_nominal,Lon_nominal,Alt_nominal,Alt_90km,Lat_90km,Lon_90km
227.5,131.2,1128.3,66.303154,-147.260178,380.2,89.95375249370558,66.80470016733973,-146.89841726292795
227.6,131.3,1127.6,66.303696,-147.260071,380.3,89.95065696712554,66.80539774068869,-146.89818945171504
227.7,131.4,1126.9,66.304237,-147.259964,380.3,89.93798020185056,66.80594397985921,-146.8980687419499
227.8,131.4,1126.1,66.304787,-147.259857,380.4,89.93468732268835,66.80664963522916,-146.8978407271344
227.9,131.5,1125.4,66.305328,-147.25975,380.5,89.93158703119275,66.8073462099694,-146.8976129155084
228.0,131.5,1124.7,66.305878,-147.259628,380.6,89.92821217269866,66.8080518915539,-146.89736975144822
228.1,131.6,1124.0,66.306419,-147.259521,380.7,89.92508918778918,66.80874847533157,-146.89714192075428
228.2,131.7,1123.3,66.306961,-147.259415,380.8,89.92193615440603,66.80944607194203,-146.89691506558995
228.3,131.7,1122.6,66.30751,-147.259308,380.9,89.9186089260513,66.81015074055085,-146.89668702648996
228.4,131.8,1121.8,66.308052,-147.259201,381.0,89.91542925224773,66.81084834734155,-146.89645914360185
228.5,131.9,1121.1,66.308601,-147.259094,381.1,89.9981994271451,66.81140435281131,-146.89634255252847
228.6,131.9,1120.4,66.309143,-147.258987,381.2,89.99500214680133,66.81210196663476,-146.8961146561477
228.7,132.0,1119.7,66.309685,-147.258881,381.3,89.99179749799637,66.81279958382152,-146.8958877589572
228.8,132.0,1119.0,66.310234,-147.258774,381.4,89.9884183923366,66.81350427310616,-146.89565967756022
228.9,132.1,1118.3,66.310776,-147.258667,381.4,89.975669567543,66.81405154044032,-146.89553889245016
229.0,132.2,1117.5,66.311317,-147.258545,381.5,89.97239690645392,66.8147481773363,-146.8952958557781
229.1,132.2,1116.8,66.311867,-147.258438,381.6,89.96896742991105,66.81545388703637,-146.8950677263819
229.2,132.3,1116.1,66.312408,-147.258331,381.7,89.01802774283588,66.81778605503133,-146.89361310041173
229.3,132.3,1115.4,66.31295,-147.258224,381.8,89.10086176353288,66.81833503282994,-146.89349661757936
